time_s,amplitude_uV
0.566406,-0.389199
0.570312,-0.172250
0.574219,-0.608517
0.578125,-0.753738
0.582031,-1.252817
0.585938,-1.654475
0.589844,-1.721044
0.593750,-1.638984
0.597656,-1.217409
0.601562,-0.819719
0.605469,-0.372690
0.609375,-0.233152
0.613281,-0.023123
0.617188,0.335418
0.621094,-0.060956
0.625000,-0.104561
0.628906,0.226025
0.632812,0.588903
0.636719,0.359336
0.640625,0.652867
0.644531,0.558937
0.648438,0.252224
0.652344,0.474907
0.656250,0.303585
0.660156,0.421134
0.664062,0.548124
0.667969,1.033787
0.671875,1.111351
0.675781,1.209492
0.679688,0.877534
0.683594,0.497804
0.687500,0.450138
0.691406,-0.208671
0.695312,-0.357057
0.699219,-0.567876
0.703125,-0.751750
0.707031,-0.924270
0.710938,-0.993655
0.714844,-1.417637
0.718750,-1.627914
0.722656,-1.671076
0.726562,-1.332335
0.730469,-1.016980
0.734375,-0.542181
0.738281,-0.174338
0.742188,0.079052
0.746094,0.615303
0.750000,0.644967
0.753906,0.439013
0.757812,0.535886
0.761719,0.656630
0.765625,0.822266
0.769531,0.990552
0.773438,0.844769
0.777344,1.056801
0.781250,0.437423
0.785156,0.516338
0.789062,0.304529
0.792969,0.363887
0.796875,0.677145
0.800781,0.859038
0.804688,0.656588
0.808594,0.603552
0.812500,0.796605
0.816406,0.167228
0.820312,-0.104090
0.824219,-0.347760
0.828125,-0.967419
0.832031,-1.159655
0.835938,-0.865056
0.839844,-0.979568
0.843750,-1.175441
0.847656,-1.334590
0.851562,-1.634631
0.855469,-1.750856
0.859375,-1.343537
0.863281,-1.036877
0.867188,-0.575267
0.871094,0.305668
0.875000,0.644344
0.878906,0.935460
0.882812,0.763092
0.886719,0.752916
0.890625,0.649520
0.894531,0.687604
0.898438,0.939471
0.902344,0.882055
0.906250,1.052789
0.910156,0.905419
0.914062,0.884057
0.917969,0.053417
0.921875,0.149891
0.925781,-0.081192
0.929688,0.021816
0.933594,0.004602
0.937500,0.334445
0.941406,0.560798
0.945312,0.288843
0.949219,-0.000748
0.953125,-0.438915
0.957031,-0.555120
0.960938,-0.934625
0.964844,-1.326434
0.968750,-1.086551
0.972656,-1.272407
0.976562,-1.526117
0.980469,-1.238644
0.984375,-1.063192
0.988281,-1.236077
0.992188,-1.192900
0.996094,-0.717611
1.000000,0.169592
1.003906,0.600150
1.007812,1.024218
1.011719,1.235125
1.015625,1.268986
1.019531,1.279938
1.023438,1.121286
1.027344,1.009443
1.031250,0.826310
1.035156,1.073038
1.039062,0.828767
1.042969,0.892383
1.046875,0.204650
1.050781,-0.007737
1.054688,-0.302318
1.058594,-0.648015
1.062500,-0.145178
1.066406,-0.003020
1.070312,-0.093458
1.074219,0.183527
1.078125,0.040096
1.082031,-0.654370
1.085938,-0.542723
1.089844,-0.863658
1.093750,-0.986896
1.097656,-1.161032
1.101562,-0.950561
1.105469,-0.847339
1.109375,-0.621162
1.113281,-0.801460
1.117188,-0.912320
1.121094,-0.645135
1.125000,-0.736841
1.128906,-0.288230
1.132812,0.056231
1.136719,1.126487
1.140625,1.463189
1.144531,1.661359
1.148438,1.605888
1.152344,1.356892
1.156250,1.170894
1.160156,0.948425
1.164062,0.873411
1.167969,0.851304
1.171875,0.947624
1.175781,0.557072
1.179688,0.093460
1.183594,-0.406388
1.187500,-0.769322
1.191406,-0.616447
1.195312,-0.752361
1.199219,-0.626239
1.203125,-0.447221
1.207031,-0.399202
1.210938,-0.240468
1.214844,-0.256031
1.218750,-0.683293
1.222656,-0.863642
1.226562,-0.946267
1.230469,-0.835905
1.234375,-0.936540
1.238281,-0.574723
1.242188,-0.582763
1.246094,-0.327431
1.250000,-0.615590
1.253906,-0.386317
1.257812,-0.057682
1.261719,0.042763
1.265625,0.509335
1.269531,1.147772
1.273438,1.508507
1.277344,1.525366
1.281250,1.674336
1.285156,1.674685
1.289062,1.049451
1.292969,0.817645
1.296875,0.528838
1.300781,0.610670
1.304688,0.213763
1.308594,-0.033434
1.312500,-0.057858
1.316406,-0.816037
1.320312,-0.881570
1.324219,-1.002274
1.328125,-1.153347
1.332031,-0.882560
1.335938,-0.368133
1.339844,-0.439927
1.343750,-0.396052
1.347656,-0.567652
1.351562,-0.510121
1.355469,-0.431873
1.359375,-0.540206
1.363281,-0.718753
1.367188,-0.506118
1.371094,-0.251051
1.375000,-0.009713
1.378906,-0.070526
1.382812,-0.055141
1.386719,-0.053393
1.390625,-0.018450
1.394531,0.321676
1.398438,0.794418
1.402344,1.206007
1.406250,1.630477
1.410156,1.952672
1.414062,1.639110
1.417969,1.263187
1.421875,0.645709
1.425781,0.643597
1.429688,0.068809
1.433594,-0.013815
1.437500,0.148986
1.441406,-0.134287
1.445312,-0.625266
1.449219,-1.266698
1.453125,-1.407950
1.457031,-1.618463
1.460938,-1.349981
1.464844,-0.828674
1.468750,-0.755110
1.472656,-0.558986
1.476562,-0.410776
1.480469,-0.203765
1.484375,-0.294560
1.488281,-0.522648
1.492188,-0.328006
1.496094,-0.389248
1.500000,0.166816
1.503906,0.376008
1.507812,0.508172
1.511719,0.278813
1.515625,0.345220
1.519531,0.175540
1.523438,0.176872
1.527344,0.391218
1.531250,0.592693
1.535156,0.950754
1.539062,1.564655
1.542969,1.487967
1.546875,1.384712
1.550781,1.160453
1.554688,0.342805
1.558594,0.122602
1.562500,0.005510
1.566406,-0.138726
1.570312,-0.417372
1.574219,-0.431027
1.578125,-0.867067
1.582031,-1.436823
1.585938,-1.689929
1.589844,-1.551220
1.593750,-1.485374
1.597656,-1.503462
1.601562,-0.561272
1.605469,-0.237998
1.609375,0.175135
1.613281,0.040349
1.617188,0.042953
1.621094,-0.129239
1.625000,0.434093
1.628906,0.149108
1.632812,0.615942
1.636719,0.480345
1.640625,0.708722
1.644531,0.403042
1.648438,0.458947
1.652344,0.512231
1.656250,0.119340
1.660156,0.571252
1.664062,0.711556
1.667969,0.808976
1.671875,1.117006
1.675781,1.162068
1.679688,1.036346
1.683594,0.599798
1.687500,0.125715
1.691406,-0.178294
1.695312,-0.554842
1.699219,-0.756236
1.703125,-0.692805
1.707031,-0.715645
1.710938,-1.317573
1.714844,-1.371831
1.718750,-1.702691
1.722656,-1.820981
1.726562,-1.380796
1.730469,-1.196782
1.734375,-0.374826
1.738281,-0.206778
1.742188,0.344323
1.746094,0.438781
1.750000,0.386897
1.753906,0.548270
1.757812,0.431356
1.761719,0.629895
1.765625,0.690495
1.769531,0.689472
1.773438,0.897802
1.777344,0.837349
1.781250,0.768182
1.785156,0.251139
1.789062,0.224539
1.792969,-0.025437
1.796875,0.493017
1.800781,0.474149
1.804688,0.557410
1.808594,0.847970
1.812500,0.839925
1.816406,0.090812
1.820312,-0.265435
1.824219,-0.585210
1.828125,-0.890274
1.832031,-0.786244
1.835938,-1.025056
1.839844,-1.094453
1.843750,-1.051075
1.847656,-1.453697
1.851562,-1.440636
1.855469,-1.669539
1.859375,-1.500360
1.863281,-1.166438
1.867188,-0.049564
1.871094,0.181777
1.875000,0.690143
1.878906,0.869823
1.882812,0.935481
1.886719,0.859078
1.890625,1.085609
1.894531,0.664761
1.898438,0.676540
1.902344,0.847707
1.906250,0.799172
1.910156,0.966500
1.914062,0.703340
1.917969,0.118138
1.921875,-0.191860
1.925781,-0.120989
1.929688,0.232589
1.933594,-0.200854
1.937500,0.482468
1.941406,0.287955
1.945312,0.457269
1.949219,-0.174594
1.953125,-0.438120
1.957031,-0.954248
1.960938,-1.077993
1.964844,-0.788495
1.968750,-0.859653
1.972656,-1.037338
1.976562,-1.168927
1.980469,-1.443198
1.984375,-1.322275
1.988281,-1.247780
1.992188,-1.029626
1.996094,-0.590574
2.000000,-0.168271
2.003906,0.566564
2.007812,1.011217
2.011719,1.436729
2.015625,1.543236
2.019531,1.138578
2.023438,0.923455
2.027344,0.967340
2.031250,0.891597
2.035156,0.885006
2.039062,0.922607
2.042969,0.571810
2.046875,0.486224
2.050781,-0.002681
2.054688,-0.263713
2.058594,-0.476760
2.062500,-0.512562
2.066406,-0.364275
2.070312,-0.059512
2.074219,-0.014545
2.078125,0.018380
2.082031,-0.263001
2.085938,-0.784629
2.089844,-0.844388
2.093750,-1.200808
2.097656,-1.091973
2.101562,-0.954312
2.105469,-1.131891
2.109375,-0.785650
2.113281,-0.828977
2.117188,-0.935190
2.121094,-0.938128
2.125000,-0.709594
2.128906,-0.376297
2.132812,0.288289
2.136719,0.808229
2.140625,1.332292
2.144531,1.343211
2.148438,1.540892
2.152344,1.361853
2.156250,1.117337
2.160156,0.920345
2.164062,0.986802
2.167969,0.593468
2.171875,0.789917
2.175781,0.510174
2.179688,0.144736
2.183594,-0.261983
2.187500,-0.772118
2.191406,-0.895772
2.195312,-0.732805
2.199219,-0.571776
2.203125,-0.364286
2.207031,-0.459992
2.210938,-0.149756
2.214844,-0.211659
2.218750,-0.472962
2.222656,-0.794474
2.226562,-1.146764
2.230469,-0.710962
2.234375,-0.719676
2.238281,-0.919292
2.242188,-0.398022
2.246094,-0.683945
2.250000,-0.694466
2.253906,-0.568118
2.257812,-0.095459
2.261719,0.034176
2.265625,0.640220
2.269531,1.381252
2.273438,1.747916
2.277344,1.658906
2.281250,1.568970
2.285156,1.183227
2.289062,0.983999
2.292969,0.911880
2.296875,0.744938
2.300781,0.579343
2.304688,0.550029
2.308594,0.016750
2.312500,-0.258219
2.316406,-0.570533
2.320312,-0.956152
2.324219,-1.070286
2.328125,-1.132693
2.332031,-1.011979
2.335938,-0.606642
2.339844,-0.560807
2.343750,-0.553020
2.347656,-0.277567
2.351562,-0.524648
2.355469,-0.607483
2.359375,-0.938798
2.363281,-0.632206
2.367188,-0.467791
2.371094,-0.305057
2.375000,-0.391806
2.378906,-0.089960
2.382812,0.047286
2.386719,-0.040754
2.390625,-0.063776
2.394531,0.325471
2.398438,0.876949
2.402344,0.804540
2.406250,1.536268
2.410156,1.753521
2.414062,1.652633
2.417969,1.509925
2.421875,1.068883
2.425781,0.632288
2.429688,0.406107
2.433594,0.315582
2.437500,-0.060109
2.441406,-0.246250
2.445312,-0.466839
2.449219,-0.716580
2.453125,-1.376138
2.457031,-1.523912
2.460938,-1.415735
2.464844,-0.965853
2.468750,-0.792197
2.472656,-0.221686
2.476562,-0.380192
2.480469,-0.223256
2.484375,-0.297766
2.488281,-0.231944
2.492188,-0.188670
2.496094,-0.443027
2.500000,-0.137268
2.503906,0.267138
2.507812,0.246655
2.511719,0.121556
2.515625,0.423814
2.519531,0.269446
2.523438,0.309170
2.527344,0.370773
2.531250,0.941991
2.535156,1.131339
2.539062,1.609973
2.542969,1.379902
2.546875,1.224128
2.550781,1.040896
2.554688,0.497425
2.558594,0.341540
2.562500,0.018223
2.566406,-0.335986
2.570312,-0.349881
2.574219,-0.638095
2.578125,-0.761252
2.582031,-1.349698
2.585938,-1.616190
2.589844,-1.490355
2.593750,-1.219160
2.597656,-0.918751
2.601562,-0.753945
2.605469,-0.294874
2.609375,0.203653
2.613281,0.079238
2.617188,-0.059143
2.621094,0.057261
2.625000,0.121281
2.628906,0.051053
2.632812,0.130877
2.636719,0.361930
2.640625,0.783960
2.644531,0.539988
2.648438,0.495175
2.652344,0.396551
2.656250,0.399972
2.660156,0.360183
2.664062,0.735778
2.667969,0.832060
2.671875,1.137989
2.675781,1.077265
2.679688,1.213539
2.683594,0.676157
2.687500,0.138912
2.691406,-0.185461
2.695312,-0.434068
2.699219,-0.457729
2.703125,-0.924923
2.707031,-1.003657
2.710938,-1.144884
2.714844,-0.992511
2.718750,-1.461846
2.722656,-1.691127
2.726562,-1.402011
2.730469,-0.810441
2.734375,-0.634633
2.738281,-0.144764
2.742188,0.468139
2.746094,0.547000
2.750000,0.600700
2.753906,0.383886
2.757812,0.743234
2.761719,0.795852
2.765625,0.782480
2.769531,0.954988
2.773438,0.609023
2.777344,0.925212
2.781250,0.595296
2.785156,0.452165
2.789062,0.332808
2.792969,0.181651
2.796875,0.141721
2.800781,0.691553
2.804688,0.717157
2.808594,0.807323
2.812500,0.583395
2.816406,0.268243
2.820312,-0.448658
2.824219,-0.291177
2.828125,-0.682847
2.832031,-0.676448
2.835938,-0.606974
2.839844,-0.982837
2.843750,-1.408936
2.847656,-1.474453
2.851562,-1.686589
2.855469,-1.599113
2.859375,-1.306592
2.863281,-1.191449
2.867188,-0.277373
2.871094,0.003262
2.875000,0.698158
2.878906,0.858057
2.882812,0.864442
2.886719,0.840668
2.890625,0.718410
2.894531,0.728729
2.898438,0.657746
2.902344,0.995057
2.906250,1.276209
2.910156,1.151530
2.914062,0.778556
2.917969,0.368206
2.921875,-0.084767
2.925781,0.148643
2.929688,0.015501
2.933594,0.211750
2.937500,0.359790
2.941406,0.463113
2.945312,0.235932
2.949219,-0.025473
2.953125,-0.557998
2.957031,-0.784355
2.960938,-0.589321
2.964844,-1.006810
2.968750,-1.018539
2.972656,-0.897231
2.976562,-0.932183
2.980469,-1.326192
2.984375,-1.294300
2.988281,-1.105403
2.992188,-0.976543
2.996094,-0.558212
3.000000,0.233103
3.003906,0.474840
3.007812,1.029430
3.011719,1.165136
3.015625,1.486772
3.019531,0.866348
3.023438,0.937880
3.027344,0.897714
3.031250,1.082271
3.035156,1.087313
3.039062,1.140684
3.042969,0.492201
3.046875,0.507879
3.050781,-0.031086
3.054688,-0.401058
3.058594,-0.368383
3.062500,-0.541495
3.066406,-0.533618
3.070312,-0.079453
3.074219,-0.156896
3.078125,-0.114043
3.082031,-0.206603
3.085938,-0.533483
3.089844,-0.616421
3.093750,-1.029327
3.097656,-1.229501
3.101562,-1.023574
3.105469,-0.958508
3.109375,-0.982050
3.113281,-0.786319
3.117188,-1.008271
3.121094,-1.171086
3.125000,-0.549015
3.128906,-0.246530
3.132812,0.382270
3.136719,0.906979
3.140625,1.413287
3.144531,1.529535
3.148438,1.690984
3.152344,1.404117
3.156250,1.197381
3.160156,1.047706
3.164062,0.685455
3.167969,0.818463
3.171875,0.681952
3.175781,0.504851
3.179688,-0.101575
3.183594,-0.074362
3.187500,-0.658414
3.191406,-1.038550
3.195312,-1.084697
3.199219,-0.678565
3.203125,-0.408745
3.207031,-0.340588
3.210938,-0.216622
3.214844,-0.483256
3.218750,-0.541664
3.222656,-0.938237
3.226562,-0.918887
3.230469,-0.705518
3.234375,-0.311838
3.238281,-0.690560
3.242188,-0.524280
3.246094,-0.586094
3.250000,-0.382351
3.253906,-0.645089
3.257812,-0.359001
3.261719,0.085362
3.265625,0.452769
3.269531,0.975458
3.273438,1.437468
3.277344,1.359343
3.281250,1.388376
3.285156,1.310402
3.289062,1.110402
3.292969,0.820212
3.296875,0.419483
3.300781,0.493239
3.304688,0.520575
3.308594,0.215985
3.312500,-0.261620
3.316406,-0.813325
3.320312,-0.949091
3.324219,-1.317767
3.328125,-1.367633
3.332031,-1.085897
3.335938,-0.443719
3.339844,-0.377391
3.343750,-0.133214
3.347656,-0.436568
3.351562,-0.375654
3.355469,-0.743970
3.359375,-0.707760
3.363281,-0.204487
3.367188,-0.262740
3.371094,-0.250601
3.375000,-0.066276
3.378906,0.009204
3.382812,0.094259
3.386719,-0.171274
3.390625,-0.234832
3.394531,0.285756
3.398438,0.765737
3.402344,1.235033
3.406250,1.752452
3.410156,1.719544
3.414062,1.672252
3.417969,1.089648
3.421875,1.028812
3.425781,0.899837
3.429688,0.476747
3.433594,0.235573
3.437500,0.043889
3.441406,0.027849
3.445312,-0.741852
3.449219,-1.026862
3.453125,-1.283217
3.457031,-1.405052
3.460938,-1.511106
3.464844,-1.121235
3.468750,-0.829338
3.472656,-0.424019
3.476562,-0.255007
3.480469,-0.366590
3.484375,-0.271209
3.488281,-0.218348
3.492188,-0.490512
3.496094,-0.252774
3.500000,0.099717
3.503906,0.056131
3.507812,0.372855
3.511719,0.190901
3.515625,0.438236
3.519531,0.542274
3.523438,0.538532
3.527344,0.409213
3.531250,0.898680
3.535156,1.185483
3.539062,1.460823
3.542969,1.748816
3.546875,1.154371
3.550781,1.168491
3.554688,0.595429
3.558594,0.451503
3.562500,0.007295
3.566406,-0.298441
3.570312,-0.319239
3.574219,-0.475009
3.578125,-0.893262
3.582031,-1.181610
3.585938,-1.628565
3.589844,-1.992123
3.593750,-1.419945
3.597656,-1.113728
3.601562,-0.741202
3.605469,-0.317440
3.609375,0.129078
3.613281,0.029338
3.617188,-0.018671
3.621094,0.011447
3.625000,0.231918
3.628906,-0.032641
3.632812,0.556587
3.636719,0.481551
3.640625,0.519034
3.644531,0.842754
3.648438,0.501843
3.652344,0.169633
3.656250,0.253291
3.660156,0.550076
3.664062,0.839782
3.667969,0.901504
3.671875,1.253194
3.675781,1.338040
3.679688,0.947079
3.683594,0.733475
3.687500,0.245026
3.691406,-0.213009
3.695312,-0.474631
3.699219,-0.552752
3.703125,-0.681100
3.707031,-0.932900
3.710938,-1.152059
3.714844,-1.205357
3.718750,-1.573124
3.722656,-1.541645
3.726562,-1.328538
3.730469,-1.030730
3.734375,-0.258938
3.738281,-0.213598
3.742188,0.407609
3.746094,0.425152
3.750000,0.778367
3.753906,0.715185
3.757812,0.161472
3.761719,0.394084
3.765625,0.797235
3.769531,0.970824
3.773438,1.023597
3.777344,0.818925
3.781250,0.692681
3.785156,0.485033
3.789062,0.218758
3.792969,0.386940
3.796875,0.056369
3.800781,0.731441
3.804688,0.673256
3.808594,1.000654
3.812500,0.639769
3.816406,0.186161
3.820312,-0.046144
3.824219,-0.610419
3.828125,-0.857764
3.832031,-1.078252
3.835938,-0.907957
3.839844,-0.911703
3.843750,-0.985117
3.847656,-1.361629
3.851562,-1.348375
3.855469,-1.521138
3.859375,-1.332532
3.863281,-0.805086
3.867188,-0.169986
3.871094,0.178601
3.875000,0.616989
3.878906,0.850356
3.882812,0.923902
3.886719,0.716563
3.890625,0.953577
3.894531,0.760539
3.898438,0.979526
3.902344,0.875680
3.906250,1.053199
3.910156,0.913195
3.914062,0.517181
3.917969,0.565469
3.921875,0.072361
3.925781,0.198770
3.929688,0.167791
3.933594,0.122740
3.937500,0.346146
3.941406,0.514734
3.945312,0.310390
3.949219,-0.005487
3.953125,-0.438238
3.957031,-0.999577
3.960938,-0.965219
3.964844,-1.329090
3.968750,-0.926967
3.972656,-1.085996
3.976562,-1.145714
3.980469,-1.192022
3.984375,-1.222325
3.988281,-1.457946
3.992188,-1.279309
3.996094,-0.736415
